Canton;Type of holder;Vehicle group / type;Fuel;TIME_PERIOD;OBS_VALUE
Geneva;Legal entity;Passenger car;Petrol: hybrid electric vehicle (HEV);2024;3618
Geneva;Legal entity;Passenger car;Petrol: hybrid electric vehicle (HEV);2023;2840
Geneva;Legal entity;Passenger car;Petrol: hybrid electric vehicle (HEV);2022;2029
Geneva;Legal entity;Passenger car;Petrol: hybrid electric vehicle (HEV);2021;1739
Geneva;Legal entity;Passenger car;Petrol: hybrid electric vehicle (HEV);2020;1384
Geneva;Legal entity;Passenger car;Petrol: hybrid electric vehicle (HEV);2019;1045
Geneva;Legal entity;Passenger car;Petrol: hybrid electric vehicle (HEV);2018;821
Geneva;Legal entity;Passenger car;Petrol: hybrid electric vehicle (HEV);2017;599
Geneva;Legal entity;Passenger car;Petrol: hybrid electric vehicle (HEV);2016;538
Neuchâtel;Legal entity;Passenger car;Petrol: hybrid electric vehicle (HEV);2024;904
Neuchâtel;Legal entity;Passenger car;Petrol: hybrid electric vehicle (HEV);2023;700
Neuchâtel;Legal entity;Passenger car;Petrol: hybrid electric vehicle (HEV);2022;465
Neuchâtel;Legal entity;Passenger car;Petrol: hybrid electric vehicle (HEV);2021;322
Neuchâtel;Legal entity;Passenger car;Petrol: hybrid electric vehicle (HEV);2020;195
Neuchâtel;Legal entity;Passenger car;Petrol: hybrid electric vehicle (HEV);2019;100
Neuchâtel;Legal entity;Passenger car;Petrol: hybrid electric vehicle (HEV);2018;87
Neuchâtel;Legal entity;Passenger car;Petrol: hybrid electric vehicle (HEV);2017;63
Neuchâtel;Legal entity;Passenger car;Petrol: hybrid electric vehicle (HEV);2016;60
Nidwalden;Legal entity;Passenger car;Petrol: conventional;2024;1780
Nidwalden;Legal entity;Passenger car;Petrol: conventional;2023;1804
Nidwalden;Legal entity;Passenger car;Petrol: conventional;2022;1796
Nidwalden;Legal entity;Passenger car;Petrol: conventional;2021;1911
Nidwalden;Legal entity;Passenger car;Petrol: conventional;2020;1930
Nidwalden;Legal entity;Passenger car;Petrol: conventional;2019;1843
Nidwalden;Legal entity;Passenger car;Petrol: conventional;2018;1940
Nidwalden;Legal entity;Passenger car;Petrol: conventional;2017;1947
Nidwalden;Legal entity;Passenger car;Petrol: conventional;2016;1978
Aargau;Natural person;Passenger car;Plug-in hybrid electric vehicle (PHEV): diesel;2024;161
Aargau;Natural person;Passenger car;Plug-in hybrid electric vehicle (PHEV): diesel;2023;140
Aargau;Natural person;Passenger car;Plug-in hybrid electric vehicle (PHEV): diesel;2022;132
Aargau;Natural person;Passenger car;Plug-in hybrid electric vehicle (PHEV): diesel;2021;108
Aargau;Natural person;Passenger car;Plug-in hybrid electric vehicle (PHEV): diesel;2020;82
Aargau;Natural person;Passenger car;Plug-in hybrid electric vehicle (PHEV): diesel;2019;75
Aargau;Natural person;Passenger car;Plug-in hybrid electric vehicle (PHEV): diesel;2018;69
Aargau;Natural person;Passenger car;Plug-in hybrid electric vehicle (PHEV): diesel;2017;59
Aargau;Natural person;Passenger car;Plug-in hybrid electric vehicle (PHEV): diesel;2016;47
Vaud;Legal entity;Passenger car;Other;2024;18
Vaud;Legal entity;Passenger car;Other;2023;19
Vaud;Legal entity;Passenger car;Other;2022;22
Vaud;Legal entity;Passenger car;Other;2021;23
Vaud;Legal entity;Passenger car;Other;2020;23
Vaud;Legal entity;Passenger car;Other;2019;19
Vaud;Legal entity;Passenger car;Other;2018;28
Vaud;Legal entity;Passenger car;Other;2017;30
Vaud;Legal entity;Passenger car;Other;2016;27
St. Gallen;Natural person;Passenger car;Other;2024;150
St. Gallen;Natural person;Passenger car;Other;2023;166
St. Gallen;Natural person;Passenger car;Other;2022;177
St. Gallen;Natural person;Passenger car;Other;2021;179
St. Gallen;Natural person;Passenger car;Other;2020;192
St. Gallen;Natural person;Passenger car;Other;2019;198
St. Gallen;Natural person;Passenger car;Other;2018;220
St. Gallen;Natural person;Passenger car;Other;2017;233
St. Gallen;Natural person;Passenger car;Other;2016;241
Thurgau;Natural person;Passenger car;Petrol: hybrid electric vehicle (HEV);2024;7389
Thurgau;Natural person;Passenger car;Petrol: hybrid electric vehicle (HEV);2023;5832
Thurgau;Natural person;Passenger car;Petrol: hybrid electric vehicle (HEV);2022;4864
Thurgau;Natural person;Passenger car;Petrol: hybrid electric vehicle (HEV);2021;3677
Thurgau;Natural person;Passenger car;Petrol: hybrid electric vehicle (HEV);2020;2730
Thurgau;Natural person;Passenger car;Petrol: hybrid electric vehicle (HEV);2019;2171
Thurgau;Natural person;Passenger car;Petrol: hybrid electric vehicle (HEV);2018;1847
Thurgau;Natural person;Passenger car;Petrol: hybrid electric vehicle (HEV);2017;1605
Thurgau;Natural person;Passenger car;Petrol: hybrid electric vehicle (HEV);2016;1357
Nidwalden;Natural person;Passenger car;Plug-in hybrid electric vehicle (PHEV): diesel;2024;11
Nidwalden;Natural person;Passenger car;Plug-in hybrid electric vehicle (PHEV): diesel;2023;9
Nidwalden;Natural person;Passenger car;Plug-in hybrid electric vehicle (PHEV): diesel;2022;8
Nidwalden;Natural person;Passenger car;Plug-in hybrid electric vehicle (PHEV): diesel;2021;7
Nidwalden;Natural person;Passenger car;Plug-in hybrid electric vehicle (PHEV): diesel;2020;7
Nidwalden;Natural person;Passenger car;Plug-in hybrid electric vehicle (PHEV): diesel;2019;3
Nidwalden;Natural person;Passenger car;Plug-in hybrid electric vehicle (PHEV): diesel;2018;3
Nidwalden;Natural person;Passenger car;Plug-in hybrid electric vehicle (PHEV): diesel;2017;3
Nidwalden;Natural person;Passenger car;Plug-in hybrid electric vehicle (PHEV): diesel;2016;3
Neuchâtel;Natural person;Passenger car;Battery electric vehicle (BEV);2024;2103
Neuchâtel;Natural person;Passenger car;Battery electric vehicle (BEV);2023;1598
Neuchâtel;Natural person;Passenger car;Battery electric vehicle (BEV);2022;1134
Neuchâtel;Natural person;Passenger car;Battery electric vehicle (BEV);2021;620
Neuchâtel;Natural person;Passenger car;Battery electric vehicle (BEV);2020;344
Neuchâtel;Natural person;Passenger car;Battery electric vehicle (BEV);2019;188
Neuchâtel;Natural person;Passenger car;Battery electric vehicle (BEV);2018;103
Neuchâtel;Natural person;Passenger car;Battery electric vehicle (BEV);2017;70
Neuchâtel;Natural person;Passenger car;Battery electric vehicle (BEV);2016;53
Schwyz;Legal entity;Passenger car;Battery electric vehicle (BEV);2024;1294
Schwyz;Legal entity;Passenger car;Battery electric vehicle (BEV);2023;1004
Schwyz;Legal entity;Passenger car;Battery electric vehicle (BEV);2022;675
Schwyz;Legal entity;Passenger car;Battery electric vehicle (BEV);2021;494
Schwyz;Legal entity;Passenger car;Battery electric vehicle (BEV);2020;335
Schwyz;Legal entity;Passenger car;Battery electric vehicle (BEV);2019;206
Schwyz;Legal entity;Passenger car;Battery electric vehicle (BEV);2018;140
Schwyz;Legal entity;Passenger car;Battery electric vehicle (BEV);2017;59
Schwyz;Legal entity;Passenger car;Battery electric vehicle (BEV);2016;35
Glarus;Natural person;Passenger car;Petrol: hybrid electric vehicle (HEV);2022;673
Glarus;Natural person;Passenger car;Petrol: hybrid electric vehicle (HEV);2021;476
Glarus;Natural person;Passenger car;Petrol: hybrid electric vehicle (HEV);2020;322
Glarus;Natural person;Passenger car;Petrol: hybrid electric vehicle (HEV);2019;230
Glarus;Natural person;Passenger car;Petrol: hybrid electric vehicle (HEV);2018;187
Glarus;Natural person;Passenger car;Petrol: hybrid electric vehicle (HEV);2017;164
Glarus;Natural person;Passenger car;Petrol: hybrid electric vehicle (HEV);2016;115
Glarus;Natural person;Passenger car;Petrol: hybrid electric vehicle (HEV);2025;1468
Glarus;Natural person;Passenger car;Petrol: hybrid electric vehicle (HEV);2024;1132
Solothurn;Legal entity;Passenger car;Fuel cell electric vehicle (FCEV);2019;1
Solothurn;Legal entity;Passenger car;Fuel cell electric vehicle (FCEV);2025;2
Solothurn;Legal entity;Passenger car;Fuel cell electric vehicle (FCEV);2024;3
Solothurn;Legal entity;Passenger car;Fuel cell electric vehicle (FCEV);2023;4
Solothurn;Legal entity;Passenger car;Fuel cell electric vehicle (FCEV);2022;2
Solothurn;Legal entity;Passenger car;Fuel cell electric vehicle (FCEV);2021;2
Fribourg;Legal entity;Passenger car;Other;2024;5
Fribourg;Legal entity;Passenger car;Other;2023;7
Fribourg;Legal entity;Passenger car;Other;2022;9
Fribourg;Legal entity;Passenger car;Other;2021;11
Fribourg;Legal entity;Passenger car;Other;2020;14
Fribourg;Legal entity;Passenger car;Other;2019;17
Fribourg;Legal entity;Passenger car;Other;2018;20
Fribourg;Legal entity;Passenger car;Other;2017;20
Fribourg;Legal entity;Passenger car;Other;2016;22
Lucerne;Natural person;Passenger car;Petrol: conventional;2024;122736
Lucerne;Natural person;Passenger car;Petrol: conventional;2023;124450
Lucerne;Natural person;Passenger car;Petrol: conventional;2022;126153
Lucerne;Natural person;Passenger car;Petrol: conventional;2021;127536
Lucerne;Natural person;Passenger car;Petrol: conventional;2020;128951
Lucerne;Natural person;Passenger car;Petrol: conventional;2019;125503
Lucerne;Natural person;Passenger car;Petrol: conventional;2018;130711
Lucerne;Natural person;Passenger car;Petrol: conventional;2017;131735
Lucerne;Natural person;Passenger car;Petrol: conventional;2016;131050
Zurich;Natural person;Passenger car;Battery electric vehicle (BEV);2024;27194
Zurich;Natural person;Passenger car;Battery electric vehicle (BEV);2023;20905
Zurich;Natural person;Passenger car;Battery electric vehicle (BEV);2022;15490
Zurich;Natural person;Passenger car;Battery electric vehicle (BEV);2021;9946
Zurich;Natural person;Passenger car;Battery electric vehicle (BEV);2020;6188
Zurich;Natural person;Passenger car;Battery electric vehicle (BEV);2019;3968
Zurich;Natural person;Passenger car;Battery electric vehicle (BEV);2018;2452
Zurich;Natural person;Passenger car;Battery electric vehicle (BEV);2017;1807
Zurich;Natural person;Passenger car;Battery electric vehicle (BEV);2016;1300
Aargau;Legal entity;Passenger car;Petrol: conventional;2024;19004
Aargau;Legal entity;Passenger car;Petrol: conventional;2023;19515
Aargau;Legal entity;Passenger car;Petrol: conventional;2022;18631
Aargau;Legal entity;Passenger car;Petrol: conventional;2021;19402
Aargau;Legal entity;Passenger car;Petrol: conventional;2020;19611
Aargau;Legal entity;Passenger car;Petrol: conventional;2019;18878
Aargau;Legal entity;Passenger car;Petrol: conventional;2018;19912
Aargau;Legal entity;Passenger car;Petrol: conventional;2017;19349
Aargau;Legal entity;Passenger car;Petrol: conventional;2016;19355
Zurich;Legal entity;Passenger car;Petrol: hybrid electric vehicle (HEV);2024;9893
Zurich;Legal entity;Passenger car;Petrol: hybrid electric vehicle (HEV);2023;8015
Zurich;Legal entity;Passenger car;Petrol: hybrid electric vehicle (HEV);2022;5268
Zurich;Legal entity;Passenger car;Petrol: hybrid electric vehicle (HEV);2021;4547
Zurich;Legal entity;Passenger car;Petrol: hybrid electric vehicle (HEV);2020;3131
Zurich;Legal entity;Passenger car;Petrol: hybrid electric vehicle (HEV);2019;2244
Zurich;Legal entity;Passenger car;Petrol: hybrid electric vehicle (HEV);2018;1930
Zurich;Legal entity;Passenger car;Petrol: hybrid electric vehicle (HEV);2017;1868
Zurich;Legal entity;Passenger car;Petrol: hybrid electric vehicle (HEV);2016;1622
Basel-Stadt;Legal entity;Passenger car;Plug-in hybrid electric vehicle (PHEV): diesel;2024;27
Basel-Stadt;Legal entity;Passenger car;Plug-in hybrid electric vehicle (PHEV): diesel;2023;13
Basel-Stadt;Legal entity;Passenger car;Plug-in hybrid electric vehicle (PHEV): diesel;2022;11
Basel-Stadt;Legal entity;Passenger car;Plug-in hybrid electric vehicle (PHEV): diesel;2021;8
Basel-Stadt;Legal entity;Passenger car;Plug-in hybrid electric vehicle (PHEV): diesel;2020;5
Basel-Stadt;Legal entity;Passenger car;Plug-in hybrid electric vehicle (PHEV): diesel;2019;4
Basel-Stadt;Legal entity;Passenger car;Plug-in hybrid electric vehicle (PHEV): diesel;2018;3
Basel-Stadt;Legal entity;Passenger car;Plug-in hybrid electric vehicle (PHEV): diesel;2017;3
Basel-Stadt;Legal entity;Passenger car;Plug-in hybrid electric vehicle (PHEV): diesel;2016;2
Valais;Legal entity;Passenger car;Fuel cell electric vehicle (FCEV);2016;1
Valais;Legal entity;Passenger car;Fuel cell electric vehicle (FCEV);2021;1
Valais;Legal entity;Passenger car;Fuel cell electric vehicle (FCEV);2020;1
Valais;Legal entity;Passenger car;Fuel cell electric vehicle (FCEV);2019;1
Valais;Legal entity;Passenger car;Fuel cell electric vehicle (FCEV);2018;1
Ticino;Legal entity;Passenger car;Other;2024;6
Ticino;Legal entity;Passenger car;Other;2023;5
Ticino;Legal entity;Passenger car;Other;2022;6
Ticino;Legal entity;Passenger car;Other;2021;6
Ticino;Legal entity;Passenger car;Other;2020;6
Ticino;Legal entity;Passenger car;Other;2019;6
Ticino;Legal entity;Passenger car;Other;2018;10
Ticino;Legal entity;Passenger car;Other;2017;10
Ticino;Legal entity;Passenger car;Other;2016;10
Obwalden;Legal entity;Passenger car;Plug-in hybrid electric vehicle (PHEV): petrol;2024;101
Obwalden;Legal entity;Passenger car;Plug-in hybrid electric vehicle (PHEV): petrol;2023;87
Obwalden;Legal entity;Passenger car;Plug-in hybrid electric vehicle (PHEV): petrol;2022;59
Obwalden;Legal entity;Passenger car;Plug-in hybrid electric vehicle (PHEV): petrol;2021;55
Obwalden;Legal entity;Passenger car;Plug-in hybrid electric vehicle (PHEV): petrol;2020;37
Obwalden;Legal entity;Passenger car;Plug-in hybrid electric vehicle (PHEV): petrol;2019;23
Obwalden;Legal entity;Passenger car;Plug-in hybrid electric vehicle (PHEV): petrol;2018;19
Obwalden;Legal entity;Passenger car;Plug-in hybrid electric vehicle (PHEV): petrol;2017;9
Obwalden;Legal entity;Passenger car;Plug-in hybrid electric vehicle (PHEV): petrol;2016;8
Aargau;Legal entity;Passenger car;Diesel: conventional;2024;17305
Aargau;Legal entity;Passenger car;Diesel: conventional;2023;18423
Aargau;Legal entity;Passenger car;Diesel: conventional;2022;18407
Aargau;Legal entity;Passenger car;Diesel: conventional;2021;19872
Aargau;Legal entity;Passenger car;Diesel: conventional;2020;20624
Aargau;Legal entity;Passenger car;Diesel: conventional;2019;20256
Aargau;Legal entity;Passenger car;Diesel: conventional;2018;21041
Aargau;Legal entity;Passenger car;Diesel: conventional;2017;19502
Aargau;Legal entity;Passenger car;Diesel: conventional;2016;19009
Basel-Stadt;Natural person;Passenger car;Gas (mono- and bi-fuel);2024;155
Basel-Stadt;Natural person;Passenger car;Gas (mono- and bi-fuel);2023;165
Basel-Stadt;Natural person;Passenger car;Gas (mono- and bi-fuel);2022;174
Basel-Stadt;Natural person;Passenger car;Gas (mono- and bi-fuel);2021;176
Basel-Stadt;Natural person;Passenger car;Gas (mono- and bi-fuel);2020;171
Basel-Stadt;Natural person;Passenger car;Gas (mono- and bi-fuel);2019;165
Basel-Stadt;Natural person;Passenger car;Gas (mono- and bi-fuel);2018;165
Basel-Stadt;Natural person;Passenger car;Gas (mono- and bi-fuel);2017;152
Basel-Stadt;Natural person;Passenger car;Gas (mono- and bi-fuel);2016;154
No data/unknown;Legal entity;Passenger car;Plug-in hybrid electric vehicle (PHEV): petrol;2022;2
No data/unknown;Legal entity;Passenger car;Plug-in hybrid electric vehicle (PHEV): petrol;2024;4
Geneva;Natural person;Passenger car;Battery electric vehicle (BEV);2024;4367
Geneva;Natural person;Passenger car;Battery electric vehicle (BEV);2023;3420
Geneva;Natural person;Passenger car;Battery electric vehicle (BEV);2022;2587
Geneva;Natural person;Passenger car;Battery electric vehicle (BEV);2021;1701
Geneva;Natural person;Passenger car;Battery electric vehicle (BEV);2020;987
Geneva;Natural person;Passenger car;Battery electric vehicle (BEV);2019;590
Geneva;Natural person;Passenger car;Battery electric vehicle (BEV);2018;364
Geneva;Natural person;Passenger car;Battery electric vehicle (BEV);2017;280
Geneva;Natural person;Passenger car;Battery electric vehicle (BEV);2016;181
Solothurn;Legal entity;Passenger car;Plug-in hybrid electric vehicle (PHEV): diesel;2024;21
Solothurn;Legal entity;Passenger car;Plug-in hybrid electric vehicle (PHEV): diesel;2023;13
Solothurn;Legal entity;Passenger car;Plug-in hybrid electric vehicle (PHEV): diesel;2022;10
Solothurn;Legal entity;Passenger car;Plug-in hybrid electric vehicle (PHEV): diesel;2021;10
Solothurn;Legal entity;Passenger car;Plug-in hybrid electric vehicle (PHEV): diesel;2020;8
Solothurn;Legal entity;Passenger car;Plug-in hybrid electric vehicle (PHEV): diesel;2019;6
Solothurn;Legal entity;Passenger car;Plug-in hybrid electric vehicle (PHEV): diesel;2018;6
Solothurn;Legal entity;Passenger car;Plug-in hybrid electric vehicle (PHEV): diesel;2017;6
Solothurn;Legal entity;Passenger car;Plug-in hybrid electric vehicle (PHEV): diesel;2016;6
Fribourg;Legal entity;Passenger car;Fuel cell electric vehicle (FCEV);2021;1
Fribourg;Legal entity;Passenger car;Fuel cell electric vehicle (FCEV);2025;2
Fribourg;Legal entity;Passenger car;Fuel cell electric vehicle (FCEV);2024;3
Fribourg;Legal entity;Passenger car;Fuel cell electric vehicle (FCEV);2023;3
Obwalden;Natural person;Passenger car;Other;2024;22
Obwalden;Natural person;Passenger car;Other;2023;22
Obwalden;Natural person;Passenger car;Other;2022;21
Obwalden;Natural person;Passenger car;Other;2021;23
Obwalden;Natural person;Passenger car;Other;2020;24
Obwalden;Natural person;Passenger car;Other;2019;25
Obwalden;Natural person;Passenger car;Other;2018;25
Obwalden;Natural person;Passenger car;Other;2017;28
Obwalden;Natural person;Passenger car;Other;2016;30
Valais;Legal entity;Passenger car;Plug-in hybrid electric vehicle (PHEV): diesel;2024;21
Valais;Legal entity;Passenger car;Plug-in hybrid electric vehicle (PHEV): diesel;2023;13
Valais;Legal entity;Passenger car;Plug-in hybrid electric vehicle (PHEV): diesel;2022;14
Valais;Legal entity;Passenger car;Plug-in hybrid electric vehicle (PHEV): diesel;2021;15
Valais;Legal entity;Passenger car;Plug-in hybrid electric vehicle (PHEV): diesel;2020;11
Valais;Legal entity;Passenger car;Plug-in hybrid electric vehicle (PHEV): diesel;2019;11
Valais;Legal entity;Passenger car;Plug-in hybrid electric vehicle (PHEV): diesel;2018;14
Valais;Legal entity;Passenger car;Plug-in hybrid electric vehicle (PHEV): diesel;2017;11
Valais;Legal entity;Passenger car;Plug-in hybrid electric vehicle (PHEV): diesel;2016;8
No data/unknown;Natural person;Passenger car;Other;2022;6
No data/unknown;Natural person;Passenger car;Other;2024;5
Basel-Stadt;Legal entity;Passenger car;Diesel: hybrid electric vehicle (HEV);2024;444
Basel-Stadt;Legal entity;Passenger car;Diesel: hybrid electric vehicle (HEV);2023;361
Basel-Stadt;Legal entity;Passenger car;Diesel: hybrid electric vehicle (HEV);2022;242
Basel-Stadt;Legal entity;Passenger car;Diesel: hybrid electric vehicle (HEV);2021;183
Basel-Stadt;Legal entity;Passenger car;Diesel: hybrid electric vehicle (HEV);2020;73
Basel-Stadt;Legal entity;Passenger car;Diesel: hybrid electric vehicle (HEV);2019;43
Basel-Stadt;Legal entity;Passenger car;Diesel: hybrid electric vehicle (HEV);2018;22
Basel-Stadt;Legal entity;Passenger car;Diesel: hybrid electric vehicle (HEV);2017;15
Basel-Stadt;Legal entity;Passenger car;Diesel: hybrid electric vehicle (HEV);2016;14
Aargau;Natural person;Passenger car;Fuel cell electric vehicle (FCEV);2018;1
Aargau;Natural person;Passenger car;Fuel cell electric vehicle (FCEV);2025;12
Aargau;Natural person;Passenger car;Fuel cell electric vehicle (FCEV);2024;11
Aargau;Natural person;Passenger car;Fuel cell electric vehicle (FCEV);2023;13
Aargau;Natural person;Passenger car;Fuel cell electric vehicle (FCEV);2022;11
Aargau;Natural person;Passenger car;Fuel cell electric vehicle (FCEV);2021;9
Aargau;Natural person;Passenger car;Fuel cell electric vehicle (FCEV);2020;4
Aargau;Natural person;Passenger car;Diesel: hybrid electric vehicle (HEV);2024;3231
Aargau;Natural person;Passenger car;Diesel: hybrid electric vehicle (HEV);2023;2281
Aargau;Natural person;Passenger car;Diesel: hybrid electric vehicle (HEV);2022;1597
Aargau;Natural person;Passenger car;Diesel: hybrid electric vehicle (HEV);2021;1080
Aargau;Natural person;Passenger car;Diesel: hybrid electric vehicle (HEV);2020;600
Aargau;Natural person;Passenger car;Diesel: hybrid electric vehicle (HEV);2019;353
Aargau;Natural person;Passenger car;Diesel: hybrid electric vehicle (HEV);2018;259
Aargau;Natural person;Passenger car;Diesel: hybrid electric vehicle (HEV);2017;229
Aargau;Natural person;Passenger car;Diesel: hybrid electric vehicle (HEV);2016;207
Geneva;Natural person;Passenger car;Gas (mono- and bi-fuel);2016;134
Geneva;Natural person;Passenger car;Gas (mono- and bi-fuel);2025;188
Geneva;Natural person;Passenger car;Gas (mono- and bi-fuel);2024;197
Geneva;Natural person;Passenger car;Gas (mono- and bi-fuel);2023;201
Geneva;Natural person;Passenger car;Gas (mono- and bi-fuel);2022;203
Geneva;Natural person;Passenger car;Gas (mono- and bi-fuel);2021;196
Geneva;Natural person;Passenger car;Gas (mono- and bi-fuel);2020;191
Geneva;Natural person;Passenger car;Gas (mono- and bi-fuel);2019;177
Geneva;Natural person;Passenger car;Gas (mono- and bi-fuel);2018;174
Zurich;Legal entity;Passenger car;Diesel: hybrid electric vehicle (HEV);2024;4531
Zurich;Legal entity;Passenger car;Diesel: hybrid electric vehicle (HEV);2023;3628
Zurich;Legal entity;Passenger car;Diesel: hybrid electric vehicle (HEV);2022;2371
Zurich;Legal entity;Passenger car;Diesel: hybrid electric vehicle (HEV);2021;1667
Zurich;Legal entity;Passenger car;Diesel: hybrid electric vehicle (HEV);2020;726
Zurich;Legal entity;Passenger car;Diesel: hybrid electric vehicle (HEV);2019;320
Zurich;Legal entity;Passenger car;Diesel: hybrid electric vehicle (HEV);2018;156
Zurich;Legal entity;Passenger car;Diesel: hybrid electric vehicle (HEV);2017;146
Zurich;Legal entity;Passenger car;Diesel: hybrid electric vehicle (HEV);2016;138
Schaffhausen;Natural person;Passenger car;Petrol: conventional;2024;28172
Schaffhausen;Natural person;Passenger car;Petrol: conventional;2023;28369
Schaffhausen;Natural person;Passenger car;Petrol: conventional;2022;28276
Schaffhausen;Natural person;Passenger car;Petrol: conventional;2021;28499
Schaffhausen;Natural person;Passenger car;Petrol: conventional;2020;28751
Schaffhausen;Natural person;Passenger car;Petrol: conventional;2019;27718
Schaffhausen;Natural person;Passenger car;Petrol: conventional;2018;29043
Schaffhausen;Natural person;Passenger car;Petrol: conventional;2017;28489
Schaffhausen;Natural person;Passenger car;Petrol: conventional;2016;28621
Basel-Stadt;Natural person;Passenger car;Battery electric vehicle (BEV);2024;1301
Basel-Stadt;Natural person;Passenger car;Battery electric vehicle (BEV);2023;964
Basel-Stadt;Natural person;Passenger car;Battery electric vehicle (BEV);2022;713
Basel-Stadt;Natural person;Passenger car;Battery electric vehicle (BEV);2021;466
Basel-Stadt;Natural person;Passenger car;Battery electric vehicle (BEV);2020;295
Basel-Stadt;Natural person;Passenger car;Battery electric vehicle (BEV);2019;178
Basel-Stadt;Natural person;Passenger car;Battery electric vehicle (BEV);2018;109
Basel-Stadt;Natural person;Passenger car;Battery electric vehicle (BEV);2017;76
Basel-Stadt;Natural person;Passenger car;Battery electric vehicle (BEV);2016;48
Graubünden;Legal entity;Passenger car;Plug-in hybrid electric vehicle (PHEV): petrol;2024;599
Graubünden;Legal entity;Passenger car;Plug-in hybrid electric vehicle (PHEV): petrol;2023;507
Graubünden;Legal entity;Passenger car;Plug-in hybrid electric vehicle (PHEV): petrol;2022;384
Graubünden;Legal entity;Passenger car;Plug-in hybrid electric vehicle (PHEV): petrol;2021;334
Graubünden;Legal entity;Passenger car;Plug-in hybrid electric vehicle (PHEV): petrol;2020;214
Graubünden;Legal entity;Passenger car;Plug-in hybrid electric vehicle (PHEV): petrol;2019;110
Graubünden;Legal entity;Passenger car;Plug-in hybrid electric vehicle (PHEV): petrol;2018;91
Graubünden;Legal entity;Passenger car;Plug-in hybrid electric vehicle (PHEV): petrol;2017;58
Graubünden;Legal entity;Passenger car;Plug-in hybrid electric vehicle (PHEV): petrol;2016;46
Graubünden;Legal entity;Passenger car;Petrol: conventional;2024;6836
Graubünden;Legal entity;Passenger car;Petrol: conventional;2023;6932
Graubünden;Legal entity;Passenger car;Petrol: conventional;2022;6741
Graubünden;Legal entity;Passenger car;Petrol: conventional;2021;6882
Graubünden;Legal entity;Passenger car;Petrol: conventional;2020;6925
Graubünden;Legal entity;Passenger car;Petrol: conventional;2019;6579
Graubünden;Legal entity;Passenger car;Petrol: conventional;2018;7064
Graubünden;Legal entity;Passenger car;Petrol: conventional;2017;6490
Graubünden;Legal entity;Passenger car;Petrol: conventional;2016;6522
Neuchâtel;Natural person;Passenger car;Plug-in hybrid electric vehicle (PHEV): petrol;2022;985
Neuchâtel;Natural person;Passenger car;Plug-in hybrid electric vehicle (PHEV): petrol;2021;660
Neuchâtel;Natural person;Passenger car;Plug-in hybrid electric vehicle (PHEV): petrol;2020;322
Neuchâtel;Natural person;Passenger car;Plug-in hybrid electric vehicle (PHEV): petrol;2019;185
Neuchâtel;Natural person;Passenger car;Plug-in hybrid electric vehicle (PHEV): petrol;2018;134
Neuchâtel;Natural person;Passenger car;Plug-in hybrid electric vehicle (PHEV): petrol;2017;92
Neuchâtel;Natural person;Passenger car;Plug-in hybrid electric vehicle (PHEV): petrol;2016;54
Neuchâtel;Natural person;Passenger car;Plug-in hybrid electric vehicle (PHEV): petrol;2025;1851
Neuchâtel;Natural person;Passenger car;Plug-in hybrid electric vehicle (PHEV): petrol;2024;1463
Schwyz;Legal entity;Passenger car;Gas (mono- and bi-fuel);2024;46
Schwyz;Legal entity;Passenger car;Gas (mono- and bi-fuel);2023;48
Schwyz;Legal entity;Passenger car;Gas (mono- and bi-fuel);2022;43
Schwyz;Legal entity;Passenger car;Gas (mono- and bi-fuel);2021;49
Schwyz;Legal entity;Passenger car;Gas (mono- and bi-fuel);2020;52
Schwyz;Legal entity;Passenger car;Gas (mono- and bi-fuel);2019;49
Schwyz;Legal entity;Passenger car;Gas (mono- and bi-fuel);2018;48
Schwyz;Legal entity;Passenger car;Gas (mono- and bi-fuel);2017;13
Schwyz;Legal entity;Passenger car;Gas (mono- and bi-fuel);2016;9
Jura;Natural person;Passenger car;Petrol: conventional;2024;28696
Jura;Natural person;Passenger car;Petrol: conventional;2023;28983
Jura;Natural person;Passenger car;Petrol: conventional;2022;29172
Jura;Natural person;Passenger car;Petrol: conventional;2021;29720
Jura;Natural person;Passenger car;Petrol: conventional;2020;30036
Jura;Natural person;Passenger car;Petrol: conventional;2019;29047
Jura;Natural person;Passenger car;Petrol: conventional;2018;29912
Jura;Natural person;Passenger car;Petrol: conventional;2017;29858
Jura;Natural person;Passenger car;Petrol: conventional;2016;29564
Schaffhausen;Natural person;Passenger car;Plug-in hybrid electric vehicle (PHEV): petrol;2024;597
Schaffhausen;Natural person;Passenger car;Plug-in hybrid electric vehicle (PHEV): petrol;2023;477
Schaffhausen;Natural person;Passenger car;Plug-in hybrid electric vehicle (PHEV): petrol;2022;414
Schaffhausen;Natural person;Passenger car;Plug-in hybrid electric vehicle (PHEV): petrol;2021;264
Schaffhausen;Natural person;Passenger car;Plug-in hybrid electric vehicle (PHEV): petrol;2020;142
Schaffhausen;Natural person;Passenger car;Plug-in hybrid electric vehicle (PHEV): petrol;2019;103
Schaffhausen;Natural person;Passenger car;Plug-in hybrid electric vehicle (PHEV): petrol;2018;71
Schaffhausen;Natural person;Passenger car;Plug-in hybrid electric vehicle (PHEV): petrol;2017;46
Schaffhausen;Natural person;Passenger car;Plug-in hybrid electric vehicle (PHEV): petrol;2016;27
